,country,year,iso_code,gdp_p_cap,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
99,Azerbaijan,2000,AZE,4604,8122743,34255695872,0.121,0.015,29.506,0.936,3.28,3.633,0.861,0.225,NA,NA,25.683,3.162,0.75,15.894,1816.55,NA,NA,640.387,1129.8,NA,16205.237,3.843,NA,NA,11.421,1.406,4.646,4.454,7.58,0.933,2.4,0.295,17.965,2.212,NA,NA,131.631,0.02,0.12,NA,0.09,0.17,NA,NA,0.53,0.31,NA,NA,0.24,0.17,NA,36.18,37.74,-3.823,-12.96
100,Azerbaijan,2005,AZE,8182,8538610,64019197952,0.743,0.087,34.286,2.209,6.89,4.016,0.536,0.206,NA,NA,34.585,4.05,0.54,18.675,1971.969,NA,8.938,727.794,1192.43,NA,19539.174,2.606,0.374,0.044,18.533,2.17,5.021,4.809,9.59,1.123,3,0.351,14.638,1.714,NA,NA,166.837,0.08,0.12,NA,0.08,0.17,NA,0.07,0.5,0.28,NA,0.11,0.34,0.13,NA,41.06,42.87,0.299,0.87
101,Azerbaijan,2010,AZE,16216,9032465,144296296448,0.617,0.068,30.633,-1.224,-3.84,3.391,0.212,0.235,0.022,0.002,30.159,3.339,0.209,22.283,2139.476,24.206,24.249,823.332,1245.405,NA,14486.417,0.907,3.331,0.369,17.968,1.989,4.652,4.452,14.02,1.552,3.36,0.372,8.695,0.963,NA,NA,130.848,0.05,0.09,0,0.08,0.16,0,0.17,0.47,0.26,NA,0.91,0.29,0.08,NA,40.21,42.02,-0.474,-1.55
102,Azerbaijan,2015,AZE,16829,9622741,163997089792,0.843,0.088,36.989,0.014,0.04,3.844,0.226,0.216,0.011,0.001,40.589,4.218,0.248,25.896,2316.678,24.268,38.726,925.26,1302.528,NA,17804.486,1.045,2.682,0.279,21.933,2.279,5.25,4.954,14.23,1.479,4.1,0.426,11.52,1.197,NA,NA,171.328,0.06,0.1,0,0.07,0.15,0,0.25,0.44,0.24,NA,0.72,0.32,0.1,NA,47.67,50.52,3.6,9.73
103,Bahamas,1990,BHS,31006,256226,NA,NA,NA,2.023,0.077,3.95,7.893,NA,0.168,0.004,0.014,NA,NA,NA,NA,107.883,0.139,NA,NA,103.482,NA,46880.262,NA,NA,NA,NA,NA,8.352,8.508,0.17,0.663,0.04,0.156,2.019,7.879,NA,NA,12.012,NA,0.01,0,NA,0.01,0,NA,NA,0.04,NA,NA,NA,0.02,NA,2.18,2.14,NA,NA
104,Bahamas,1995,BHS,28219,280179,NA,NA,NA,1.839,0.07,3.93,6.565,NA,0.146,0.004,0.013,NA,NA,NA,NA,117.102,0.158,NA,NA,112.683,NA,45103.582,NA,NA,NA,NA,NA,8.53,8.673,0.19,0.678,0.04,0.143,1.836,6.552,NA,NA,12.637,NA,0.01,0,NA,0.01,0,NA,NA,0.04,NA,NA,NA,0.02,NA,2.43,2.39,NA,NA
105,Bahamas,2000,BHS,32973,298045,NA,NA,NA,2.026,-0.007,-0.36,6.798,NA,0.123,0.004,0.012,NA,NA,NA,NA,126.573,0.176,NA,NA,122.136,NA,55236.57,NA,NA,NA,NA,NA,8.153,8.589,0.26,0.872,0.05,0.168,2.023,6.786,NA,NA,16.463,NA,0.01,0,NA,0.01,0,NA,NA,0.03,NA,NA,NA,0.02,NA,2.56,2.43,NA,NA
106,Bahamas,2005,BHS,32839,324848,NA,NA,NA,1.905,-0.143,-6.98,5.865,NA,0.147,0.007,0.023,NA,NA,NA,NA,136.58,0.205,NA,NA,132.113,NA,39877.863,NA,NA,NA,NA,NA,7.234,7.327,0.2,0.616,0.04,0.123,1.898,5.843,NA,NA,12.954,NA,0.01,0,NA,0.01,0,NA,NA,0.03,NA,NA,NA,0.02,NA,2.38,2.35,NA,NA
107,Bahamas,2010,BHS,29707,354936,NA,NA,NA,1.902,-0.048,-2.44,5.358,NA,0.143,0.004,0.01,NA,NA,NA,NA,146.073,0.227,NA,NA,141.584,NA,37367.094,NA,NA,NA,NA,NA,6.649,6.677,0.2,0.563,0.03,0.085,1.898,5.347,NA,NA,13.263,NA,0.01,0,NA,0.01,0,NA,NA,0.03,NA,NA,NA,0.02,NA,2.37,2.36,NA,NA
108,Bahamas,2015,BHS,29366,374200,NA,NA,NA,2.136,-0.293,-12.07,5.708,NA,0.181,0.004,0.01,NA,NA,NA,NA,157.769,0.246,NA,NA,153.261,NA,31584.977,NA,NA,NA,NA,NA,6.734,6.761,0.22,0.588,0.04,0.107,2.132,5.699,NA,NA,11.819,NA,0.01,0,NA,0.01,0,NA,NA,0.03,NA,NA,NA,0.02,NA,2.53,2.52,NA,NA
109,Bahrain,1990,BHR,35113,495927,3274114048,0.062,0.124,12.406,0.689,5.88,25.015,3.789,0.165,NA,NA,11.601,23.393,3.543,0.193,238.199,NA,NA,122.866,114.986,NA,151420.781,22.936,NA,NA,10.453,21.079,31.718,31.718,4.82,9.719,0.05,0.101,1.891,3.812,NA,NA,75.094,0.01,0.05,NA,0,0.03,NA,NA,0.16,0.04,NA,NA,0.27,0.02,NA,15.73,15.73,-0.805,-6.49
110,Bahrain,1995,BHR,42897,563698,6084213760,0.079,0.14,14.786,0.032,0.22,26.231,2.43,0.178,NA,NA,14.317,25.398,2.353,0.608,305.079,NA,NA,180.548,123.769,NA,147443.266,13.661,NA,NA,13.044,23.14,35.019,35.019,5.89,10.449,0.06,0.106,1.663,2.951,NA,NA,83.113,0.01,0.06,NA,0,0.03,NA,NA,0.18,0.04,NA,NA,0.31,0.02,NA,19.74,19.74,-0.47,-3.18
111,Bahrain,2000,BHR,44943,664610,11416501248,0.034,0.052,18.794,0.805,4.48,28.278,1.646,0.168,NA,NA,12.607,18.969,1.104,0.938,393.107,NA,NA,255.741,136.274,NA,168334.875,9.8,NA,NA,16.144,24.29,38.278,38.278,8.77,13.196,0.07,0.105,2.616,3.936,NA,NA,111.877,0,0.07,NA,0.01,0.04,NA,NA,0.21,0.04,NA,NA,0.34,0.03,NA,25.44,25.44,-6.187,-32.92
112,Bahrain,2005,BHR,43202,889157,22640009216,0.139,0.157,19.804,1.921,10.74,22.273,0.875,0.132,NA,NA,12.874,14.479,0.569,1.325,477.51,NA,NA,321.036,154.995,NA,168704.125,6.626,NA,NA,14.293,16.075,36.09,36.09,10.48,11.786,0.11,0.124,5.371,6.041,NA,NA,150.004,0.01,0.07,NA,0.01,0.04,NA,NA,0.22,0.04,NA,NA,0.26,0.05,NA,32.09,32.09,-6.93,-34.99
113,Bahrain,2010,BHR,40571,1240864,42648158208,0.43,0.347,29.075,0.977,3.48,23.432,0.682,0.169,NA,NA,19.475,15.695,0.457,2.45,610.557,NA,NA,429.125,178.828,NA,138806.891,4.039,NA,NA,24.531,19.769,32.888,32.888,13.48,10.863,0.13,0.105,4.114,3.316,NA,NA,172.24,0.03,0.09,NA,0.01,0.05,NA,NA,0.24,0.04,NA,NA,0.4,0.04,NA,40.81,40.81,-9.6,-33.02
114,Bahrain,2015,BHR,43927,1371853,56045613056,0.454,0.331,32.47,1.652,5.36,23.669,0.579,0.16,NA,NA,17.112,12.473,0.305,4.74,760.331,NA,NA,560.571,194.865,NA,148418.344,3.633,NA,NA,28.238,20.584,35.623,35.623,15.8,11.517,0.15,0.109,3.778,2.754,NA,NA,203.608,0.03,0.09,NA,0.01,0.05,NA,NA,0.27,0.04,NA,NA,0.42,0.03,NA,48.87,48.87,-15.359,-47.3
115,Bangladesh,1990,BGD,1326,103171952,112105267200,0.1,0.001,14.082,0.699,5.23,0.137,0.126,0.191,1.07,0.01,18.094,0.175,0.161,1.913,209.894,22.477,NA,70.246,115.258,NA,715.857,0.659,NA,NA,7.575,0.073,0.913,1.133,66.31,0.643,16.47,0.16,5.337,0.052,NA,NA,73.856,0.02,0.06,0.01,0.02,0.03,0.01,NA,0.09,0.04,NA,NA,0.2,0.06,NA,116.94,94.24,4.012,28.49
116,Bangladesh,1995,BGD,1482,115169928,145833066496,0.069,0.001,21.042,3.504,19.98,0.183,0.144,0.197,1.22,0.011,26.094,0.227,0.179,2.281,294.658,24.58,NA,123.805,143.992,NA,930.005,0.734,NA,NA,13.029,0.113,0.919,1.116,69.38,0.602,19.9,0.173,6.723,0.058,NA,NA,107.109,0.01,0.09,0.01,0.02,0.03,0.01,NA,0.13,0.05,NA,NA,0.31,0.07,NA,128.57,105.83,5.052,24.01
117,Bangladesh,2000,BGD,1692,127657856,200830320640,0.704,0.005,26.525,1.45,5.78,0.208,0.132,0.195,1.253,0.01,32.698,0.256,0.163,4.068,414.074,28.266,NA,197.386,184.355,NA,1066.294,0.678,NA,NA,16.88,0.132,0.904,1.079,72.19,0.565,21.38,0.167,7.687,0.06,NA,NA,136.121,0.1,0.11,0.01,0.02,0.04,0.01,NA,0.16,0.05,NA,NA,0.36,0.07,NA,137.75,115.46,6.173,23.27
118,Bangladesh,2005,BGD,1991,139035504,280327127040,0.751,0.005,37.677,1.731,4.82,0.271,0.134,0.199,1.605,0.012,48.945,0.352,0.175,8.259,584.172,35.348,NA,305.376,235.19,NA,1364.823,0.677,NA,NA,24.722,0.178,0.957,1.119,77.07,0.554,22.92,0.165,10.599,0.076,NA,NA,189.759,0.08,0.13,0.01,0.04,0.05,0.01,NA,0.21,0.06,NA,NA,0.46,0.1,NA,155.64,133.11,11.268,29.91
119,Bangladesh,2010,BGD,2518,147575440,400257024000,0.68,0.005,53.992,4.843,9.85,0.366,0.135,0.216,3.074,0.021,70.524,0.478,0.176,11.719,816.943,47.926,NA,470.275,287.024,NA,1697.714,0.626,NA,NA,39.397,0.267,1.106,1.258,85.59,0.58,26.16,0.177,10.841,0.073,NA,NA,250.541,0.05,0.16,0.02,0.04,0.06,0.01,NA,0.27,0.06,NA,NA,0.63,0.1,NA,185.71,163.18,16.532,30.62
120,Bangladesh,2015,BGD,3232,156256288,552394686464,1.239,0.008,73.277,7.299,11.06,0.469,0.133,0.202,8.607,0.055,94.532,0.605,0.171,15.823,1135.229,70.046,NA,689.624,359.736,NA,2326.521,0.658,NA,NA,48.742,0.312,1.23,1.37,89.84,0.575,28.38,0.182,14.689,0.094,NA,NA,363.534,0.09,0.21,0.06,0.04,0.07,0.01,NA,0.33,0.07,NA,NA,0.72,0.12,NA,214.1,192.18,21.255,29.01
121,Barbados,1990,BRB,14123,260933,3404428032,0.099,0.38,1.07,0.081,8.23,4.101,0.314,0.194,NA,NA,NA,NA,NA,0.678,18.405,NA,NA,0.655,17.017,NA,21084.34,1.616,NA,NA,0.051,0.197,11.919,11.919,2.07,7.933,0.05,0.192,0.92,3.524,NA,NA,5.502,0.02,0,NA,0.01,0,NA,NA,0,0.01,NA,NA,0,0.01,NA,3.11,3.11,NA,NA
122,Barbados,1995,BRB,13273,265955,3074994176,0.037,0.14,0.807,0.068,9.23,3.033,0.262,0.143,NA,NA,NA,NA,NA,0.971,23.226,NA,NA,0.842,21.359,NA,21194.58,1.833,NA,NA,0.033,0.124,12.634,12.634,2.23,8.385,0.05,0.188,0.736,2.769,NA,NA,5.637,0.01,0,NA,0.01,0,NA,NA,0,0.01,NA,NA,0,0.01,NA,3.36,3.36,NA,NA
123,Barbados,2000,BRB,15391,271511,3452406272,0.133,0.49,1.152,-0.011,-0.93,4.241,0.334,0.165,NA,NA,NA,NA,NA,1.497,28.35,NA,NA,1.021,25.778,NA,25654.275,2.018,NA,NA,0.037,0.135,13.222,13.222,2.28,8.397,0.05,0.184,0.982,3.617,NA,NA,6.965,0.02,0,NA,0.01,0,NA,NA,0,0.01,NA,NA,0,0.01,NA,3.59,3.59,NA,NA
124,Barbados,2005,BRB,16031,276320,3466246144,0.154,0.557,1.319,0.05,3.91,4.774,0.381,0.183,NA,NA,NA,NA,NA,2.228,34.57,NA,0.011,1.168,31.109,NA,26054.629,2.077,0.004,0.013,0.029,0.106,13.607,13.571,2.27,8.215,0.04,0.145,1.132,4.097,NA,NA,7.199,0.02,0,NA,0.01,0,NA,0,0,0.01,NA,0,0,0.01,NA,3.75,3.76,NA,NA
125,Barbados,2010,BRB,16276,282131,3418936064,0.101,0.358,1.464,-0.133,-8.34,5.189,0.428,0.199,NA,NA,NA,NA,NA,2.887,41.949,NA,0.026,1.336,37.646,NA,26134.238,2.157,0.004,0.013,0.029,0.104,14.001,13.965,2.29,8.117,0.04,0.142,1.33,4.714,NA,NA,7.373,0.01,0,NA,0.01,0,NA,0,0,0.01,NA,0,0,0.01,NA,3.94,3.95,NA,NA
126,Barbados,2015,BRB,16396,285327,3448058880,0.071,0.247,1.261,0,0.01,4.421,0.366,0.185,NA,NA,NA,NA,NA,3.274,48.884,NA,NA,1.508,44.01,NA,23947.119,1.982,NA,NA,0.033,0.116,13.108,13.108,2.32,8.131,0.04,0.14,1.158,4.058,NA,NA,6.833,0,0,NA,0.01,0,NA,NA,0,0.01,NA,NA,0,0.01,NA,3.74,3.74,NA,NA
127,Belarus,1990,BLR,8367,10151135,116974870528,1.188,0.117,103.758,-5.08,-4.67,10.221,0.887,0.233,8.165,0.804,60.109,5.921,0.514,37.697,3030.869,406.325,9.941,303.933,2269.344,3.628,45903.488,3.984,0.001,0,27.502,2.709,13.581,10.319,20.55,2.024,17.51,1.725,63.274,6.233,0.357,3.628,465.973,0.24,0.46,0.09,0.31,0.38,0.09,0.12,0.39,0.84,0.2,0,0.72,0.69,1.63,104.75,137.86,-43.648,-42.07
128,Belarus,1995,BLR,5460,10077606,71373348864,0.695,0.069,57.508,-4.997,-7.99,5.707,0.806,0.228,3.972,0.394,33.665,3.341,0.472,42.568,3413.076,434.289,9.948,435.674,2475.009,15.589,24877.543,3.513,0.001,0,23.682,2.35,8.431,5.17,15.44,1.532,11.92,1.183,27.657,2.744,0.149,1.5,250.706,0.11,0.25,0.05,0.28,0.37,0.09,0.11,0.44,0.78,0.53,0,0.56,0.3,0.67,52.1,84.96,-23.843,-41.46
129,Belarus,2000,BLR,7574,9871635,91419115520,0.836,0.085,54.706,-0.196,-0.36,5.542,0.598,0.214,3.516,0.356,65.278,6.613,0.714,47.069,3697.377,452.037,9.955,575.841,2589.095,23.38,25837.693,2.79,0.001,0,31.201,3.161,7.993,4.699,14.34,1.453,11.62,1.177,17.858,1.809,0.131,1.293,255.06,0.12,0.22,0.04,0.26,0.35,0.09,0.09,0.47,0.71,0.58,0,0.66,0.17,0.6,46.39,78.9,10.572,19.32
130,Belarus,2005,BLR,11230,9562083,123858051072,1.781,0.186,61.127,1.326,2.22,6.393,0.493,0.213,2.83,0.296,60.176,6.293,0.486,53.837,3983.763,466.949,9.962,746.403,2675.058,31.554,29716.363,2.294,0.002,0,36.976,3.867,8.687,6.095,14.16,1.481,12.12,1.268,17.597,1.84,0.203,1.941,284.15,0.19,0.21,0.02,0.24,0.34,0.08,0.08,0.51,0.64,0.61,0,0.69,0.16,0.81,58.28,83.07,-0.951,-1.56
131,Belarus,2010,BLR,16261,9420576,166239846400,2.201,0.234,62.775,1.73,2.83,6.664,0.378,0.207,2.906,0.308,60.471,6.419,0.364,64.082,4300.259,480.769,9.97,931.685,2773.105,40.647,32508.453,1.842,0.002,0,39.541,4.197,9.663,7.005,16.3,1.73,13.03,1.383,16.436,1.745,0.179,1.689,306.248,0.18,0.19,0.02,0.23,0.32,0.07,0.07,0.53,0.58,0.63,0,0.64,0.15,0.69,65.99,91.03,-2.304,-3.67
132,Belarus,2015,BLR,17219,9439424,173928284160,2.218,0.235,58.038,-4.571,-7.3,6.148,0.334,0.216,2.808,0.298,63.111,6.686,0.363,76.067,4608.445,496.027,9.977,1113.328,2865.417,47.629,28288.828,1.535,0.001,0,33.957,3.597,8.977,7.24,17.24,1.826,12.62,1.337,17.758,1.881,0.137,1.295,267.03,0.15,0.16,0.02,0.21,0.3,0.07,0.06,0.53,0.54,0.61,0,0.5,0.15,0.43,68.34,84.74,5.074,8.74
133,Belgium,1990,BEL,30648,10006545,273278730240,2.824,0.282,120.308,13.516,12.66,12.023,0.44,0.194,41.394,4.137,154.407,15.431,0.565,134.472,9076.546,6789.778,0.085,360.94,1788.614,2.657,62094.625,2.274,0.085,0.009,19.846,1.983,13.068,12.678,13.26,1.325,8.17,0.816,53.503,5.347,0.266,2.657,621.353,0.57,0.53,0.47,1.11,1.12,1.55,0,0.46,0.66,0.14,0.03,0.52,0.58,1.19,126.86,130.77,34.099,28.34
134,Belgium,1995,BEL,32613,10186304,297776709632,3.255,0.32,125.942,1.134,0.91,12.364,0.423,0.188,36.955,3.628,165.746,16.271,0.557,149.957,9694.617,6979.549,0.505,477.974,2071.705,14.928,65982.695,2.257,0.084,0.008,26.305,2.582,13.455,13.07,13.13,1.289,8.83,0.867,56.747,5.571,0.255,2.595,672.12,0.52,0.54,0.42,1,1.05,1.45,0.01,0.48,0.66,0.51,0.04,0.62,0.61,1.17,133.14,137.06,39.804,31.61
135,Belgium,2000,BEL,37189,10282046,345736773632,3.27,0.318,126.72,2.02,1.62,12.324,0.366,0.171,31.672,3.08,188.602,18.343,0.545,165.686,10329.711,7139.485,1.067,632.027,2363.878,27.568,72295.773,2.15,0.165,0.016,33.199,3.229,13.446,13.057,12.14,1.181,7.68,0.747,55.734,5.42,0.261,2.68,743.348,0.46,0.5,0.35,0.9,0.99,1.36,0.01,0.52,0.65,0.68,0.06,0.7,0.54,1.25,134.25,138.25,61.882,48.83
136,Belgium,2005,BEL,39803,10546885,380849782784,2.934,0.278,125.641,-3.14,-2.44,11.913,0.33,0.167,26.196,2.484,214.033,20.294,0.562,180.341,10965.312,7278.625,1.686,803.836,2659.663,41.161,71691.109,1.985,0.104,0.01,35.641,3.379,12.283,11.998,9.99,0.947,7.16,0.679,58.09,5.508,0.254,2.675,756.118,0.31,0.42,0.23,0.8,0.93,1.26,0.01,0.55,0.63,0.8,0.03,0.66,0.52,1.11,126.54,129.55,88.393,70.35
137,Belgium,2010,BEL,41086,10938735,412203548672,2.582,0.236,114.544,6.832,6.34,10.471,0.278,0.149,17.526,1.602,192.783,17.624,0.468,194.951,11552.112,7383.069,2.269,987.383,2930.948,53.494,70688.281,1.876,0.103,0.009,40.349,3.689,11.404,11.128,9.24,0.845,6.19,0.566,51.809,4.736,0.199,2.175,773.24,0.21,0.34,0.13,0.69,0.86,1.15,0.02,0.56,0.62,0.84,0.03,0.65,0.46,0.89,121.73,124.74,78.239,68.31
138,Belgium,2015,BEL,41821,11287931,434918719488,2.348,0.208,101.056,4.188,4.32,8.953,0.232,0.152,14.438,1.279,175.539,15.551,0.404,207.887,12060.101,7459.403,2.712,1156.979,3168.846,64.273,59436.828,1.543,0.088,0.008,33.824,2.997,9.872,9.662,8.53,0.756,4.78,0.423,48.188,4.269,0.192,2.169,670.919,0.16,0.28,0.1,0.59,0.8,1.04,0.02,0.55,0.59,0.82,0.02,0.5,0.41,0.72,109.06,111.43,74.484,73.71
139,Belize,1990,BLZ,5116,187554,NA,NA,NA,0.311,0.011,3.66,1.661,NA,0.217,NA,NA,NA,NA,NA,NA,5.188,NA,NA,NA,5.188,NA,7641.69,NA,NA,NA,NA,NA,34.87,70.273,6.15,32.791,0.14,0.746,0.311,1.661,NA,NA,1.433,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,13.18,6.54,NA,NA
140,Belize,1995,BLZ,6204,206962,NA,NA,NA,0.377,0.004,0.98,1.824,NA,0.236,NA,NA,NA,NA,NA,NA,7.079,NA,NA,NA,7.079,NA,7740.137,NA,NA,NA,NA,NA,29.281,61.316,5.54,26.768,0.13,0.628,0.377,1.824,NA,NA,1.602,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,12.69,6.06,NA,NA
141,Belize,2000,BLZ,6954,247310,NA,NA,NA,0.396,0.048,13.68,1.6,NA,0.164,NA,NA,NA,NA,NA,NA,8.889,NA,NA,NA,8.889,NA,9758.88,NA,NA,NA,NA,NA,3.033,29.882,0.27,1.092,0.13,0.526,0.396,1.6,NA,NA,2.413,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,7.39,0.75,NA,NA
142,Belize,2005,BLZ,7851,283798,NA,NA,NA,0.421,0.029,7.48,1.485,NA,0.162,NA,NA,NA,NA,NA,NA,11.014,NA,NA,NA,11.014,NA,9168.376,NA,NA,NA,NA,NA,3.101,14.764,0.3,1.057,0.16,0.564,0.421,1.485,NA,NA,2.602,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,4.19,0.88,NA,NA
143,Belize,2010,BLZ,7849,322465,NA,NA,NA,0.539,0.022,4.26,1.67,NA,0.159,NA,NA,NA,NA,NA,NA,13.425,NA,NA,0.011,13.414,NA,10481.058,NA,NA,NA,0.011,0.034,3.938,14.172,0.54,1.675,0.15,0.465,0.528,1.636,NA,NA,3.38,NA,0,NA,NA,0,NA,NA,0,0,NA,NA,0,0,NA,4.57,1.27,NA,NA
144,Belize,2015,BLZ,7977,360926,NA,NA,NA,0.641,0.172,36.72,1.776,NA,0.175,NA,NA,NA,NA,NA,NA,15.979,NA,NA,0.04,15.938,NA,10168.304,NA,NA,NA,0.004,0.01,4.101,19.367,0.48,1.33,0.25,0.693,0.638,1.766,NA,NA,3.67,NA,0,NA,NA,0,NA,NA,0,0,NA,NA,0,0.01,NA,6.99,1.48,NA,NA
145,Benin,1990,BEN,1463,4978489,8723574784,0.074,0.015,0.631,0.06,10.61,0.127,0.072,0.247,NA,NA,0.952,0.191,0.109,0.976,10.814,NA,NA,NA,9.838,NA,513.566,0.293,NA,NA,NA,NA,0.84,3.965,2.63,0.528,1.78,0.358,0.557,0.112,NA,NA,2.557,0.01,0,NA,0.01,0,NA,NA,NA,0,NA,NA,NA,0.01,NA,19.74,4.18,0.321,50.94
146,Benin,1995,BEN,1515,5905552,10500461568,0.081,0.014,1.117,0.019,1.74,0.189,0.106,0.271,NA,NA,1.543,0.261,0.147,1.348,15.509,NA,NA,NA,14.161,NA,698.121,0.393,NA,NA,NA,NA,0.759,3.392,2.76,0.467,1.94,0.329,1.037,0.176,NA,NA,4.123,0.01,0,NA,0.01,0,NA,NA,NA,0,NA,NA,NA,0.01,NA,20.03,4.48,0.426,38.11
147,Benin,2000,BEN,1666,6865946,12746225664,NA,NA,1.473,0.011,0.75,0.214,0.116,0.215,NA,NA,2.485,0.362,0.195,NA,21.903,NA,NA,NA,20.412,NA,999.834,0.539,NA,NA,NA,NA,1.024,3.321,3.65,0.532,2.58,0.376,1.473,0.214,NA,NA,6.865,NA,0.01,NA,NA,0,NA,NA,NA,0.01,NA,NA,NA,0.01,NA,22.8,7.03,1.012,68.68
148,Benin,2005,BEN,1736,7982223,14703565824,0.222,0.028,2.49,-0.104,-4,0.312,0.169,0.242,NA,NA,4.767,0.597,0.324,2.248,33.18,NA,NA,NA,30.931,NA,1288.836,0.7,NA,NA,NA,NA,1.08,2.445,3.27,0.41,2.45,0.307,2.268,0.284,NA,NA,10.288,0.02,0.01,NA,0.01,0,NA,NA,NA,0.01,NA,NA,NA,0.02,NA,19.52,8.62,2.277,91.45
149,Benin,2010,BEN,1819,9199254,17023196160,0.242,0.026,4.679,0.455,10.77,0.509,0.275,0.216,NA,NA,7.144,0.777,0.42,3.334,53.285,NA,NA,NA,49.951,NA,2349.062,1.269,NA,NA,NA,NA,1.139,2.303,3.12,0.339,2.16,0.235,4.437,0.482,NA,NA,21.61,0.02,0.01,NA,0.01,0,NA,NA,NA,0.01,NA,NA,NA,0.04,NA,21.19,10.48,2.465,52.68
150,Benin,2015,BEN,1987,10575962,22279708672,0.214,0.02,5.326,0.53,11.04,0.504,0.239,0.234,0.11,0.01,7.913,0.748,0.355,4.447,76.855,0.297,NA,0.136,71.976,NA,2153.796,1.022,NA,NA,0.059,0.005,1.146,2.16,3.54,0.335,2.34,0.221,4.943,0.467,NA,NA,22.778,0.01,0.02,0,0.01,0.01,0,NA,0,0.01,NA,NA,0,0.04,NA,22.84,12.12,2.587,48.59
157,Bhutan,1990,BTN,2354,530801,NA,NA,NA,0.128,0.066,105.88,0.242,NA,0.034,0.048,0.09,NA,NA,NA,NA,0.747,0.157,NA,NA,0.591,NA,7028.015,NA,NA,NA,NA,NA,1.432,-10.965,0.58,1.093,0.12,0.226,0.081,0.152,NA,NA,3.73,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,-5.82,0.76,NA,NA
158,Bhutan,1995,BTN,2790,534629,NA,0.057,0.106,0.236,0.035,17.2,0.442,NA,0.053,0.077,0.144,NA,NA,NA,0.244,1.738,0.469,NA,NA,1.025,NA,8268.721,NA,NA,NA,NA,NA,1.627,-10.699,0.6,1.122,0.13,0.243,0.103,0.192,NA,NA,4.421,0.01,0,0,0,0,0,NA,NA,0,NA,NA,NA,0,NA,-5.72,0.87,NA,NA
159,Bhutan,2000,BTN,3433,591014,NA,0.06,0.102,0.383,0.011,2.94,0.648,NA,0.077,0.176,0.298,NA,NA,NA,0.555,3.52,1.282,NA,NA,1.683,NA,8414.541,NA,NA,NA,NA,NA,1.489,-9.644,0.57,0.964,0.11,0.186,0.147,0.248,NA,NA,4.973,0.01,0,0,0,0,0,NA,NA,0,NA,NA,NA,0,NA,-5.7,0.88,NA,NA
160,Bhutan,2005,BTN,4577,648744,NA,0.067,0.103,0.378,0.088,30.14,0.583,NA,0.051,0.099,0.153,NA,NA,NA,0.881,5.32,1.83,NA,NA,2.609,NA,11369.88,NA,NA,NA,NA,NA,1.588,-8.586,0.59,0.909,0.13,0.2,0.213,0.328,NA,NA,7.376,0.01,0,0,0,0,0,NA,NA,0,NA,NA,NA,0,NA,-5.57,1.03,NA,NA
161,Bhutan,2010,BTN,6814,685502,NA,0.076,0.111,0.465,0.096,25.89,0.678,NA,0.027,0.077,0.112,NA,NA,NA,1.234,7.303,2.245,NA,NA,3.823,NA,24995.49,NA,NA,NA,NA,NA,1.561,-8.009,0.57,0.832,0.14,0.204,0.311,0.454,NA,NA,17.134,0.01,0,0,0,0,0,NA,NA,0,NA,NA,NA,0,NA,-5.49,1.07,NA,NA
162,Bhutan,2015,BTN,8380,727885,NA,0.302,0.415,0.965,0.017,1.75,1.326,NA,0.054,0.213,0.292,NA,NA,NA,2.419,11.509,3.138,NA,NA,5.952,NA,24718.354,NA,NA,NA,NA,NA,1.91,0.151,0.51,0.701,0.12,0.165,0.451,0.619,NA,NA,17.992,0.02,0,0,0.01,0,0,NA,NA,0,NA,NA,NA,0,NA,0.11,1.39,NA,NA
